а;68227
б;14139
в;40174
г;15015
д;26351
е;70867
ё;21
ж;7686
з;14833
и;59554
й;10042
к;28463
л;39182
м;25978
н;54817
о;93193
п;23100
р;38543
с;44458
т;47313
у;22867
ф;1145
х;8275
ц;2836
ч;11894
ш;7936
щ;3370
ъ;273
ы;16846
ь;15079
э;2340
ю;6184
я;17202
 ;154940
