;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я
а;260;1383;4690;1368;2891;1502;1;1145;3613;1313;645;4935;8536;3919;6028;1125;2532;3490;5748;4731;527;253;1232;132;1222;970;315;0;0;0;275;1121;2325
б;667;6;79;11;15;2144;1;16;14;803;0;94;830;75;317;2374;8;1142;176;15;1152;0;60;2;17;15;201;131;3245;57;43;11;418
в;6400;231;433;306;805;5081;0;65;455;3459;0;773;1057;392;1797;7139;923;1027;3195;620;807;24;84;61;203;1359;32;10;2617;185;230;49;355
г;1256;18;76;4;1069;364;0;7;26;846;0;124;1077;17;298;8109;59;924;77;16;579;1;2;0;39;9;0;0;0;0;7;4;7
д;4181;82;1167;57;85;4061;1;32;78;2198;0;454;507;117;1948;4731;240;1760;524;162;1703;6;39;172;65;135;0;33;764;628;19;23;379
е;226;1976;4035;3433;3776;2172;0;993;2470;1139;2208;2084;5563;4710;8647;1396;2909;6652;5967;4788;657;101;692;253;1568;897;691;0;0;0;261;284;319
ё;0;2;1;1;1;0;0;1;1;1;0;2;0;3;2;0;2;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
ж;1273;53;11;11;723;2612;0;17;2;1623;0;125;10;18;793;42;6;5;24;6;244;0;0;3;32;0;0;0;0;46;1;3;3
з;4710;274;1023;391;1147;566;0;107;112;613;0;302;274;383;1880;714;235;354;192;95;348;9;13;26;59;25;3;40;514;127;20;9;268
и;355;1383;4860;881;2051;2882;0;568;3030;2057;1417;2915;4473;3592;5094;1623;2555;1496;4799;3950;556;128;2379;993;2078;654;311;0;0;0;211;374;1889
й;410;324;697;248;607;103;0;134;225;557;0;629;173;373;1058;481;822;303;1349;560;154;51;49;81;345;144;9;0;0;0;71;35;50
к;6655;244;676;96;178;758;0;126;172;3235;0;250;678;153;891;8296;364;1949;632;967;1701;7;71;32;106;42;2;0;0;1;94;28;59
л;6223;176;539;302;281;4623;2;265;149;7859;0;700;180;136;728;6116;484;97;1436;220;1451;14;26;11;320;33;5;0;789;3603;61;942;1411
м;2767;345;803;224;414;3631;0;76;220;4111;0;552;451;269;2097;3414;901;258;1016;304;1893;62;64;24;252;51;7;0;966;92;84;40;590
н;10356;167;272;151;824;9039;1;28;128;8446;0;426;40;63;3533;9769;358;116;774;746;2342;36;28;411;252;13;125;0;3783;1035;19;183;1353
о;153;4476;9347;4766;6020;2584;0;1982;1844;1561;4274;3330;6017;6084;7237;1514;3228;7035;8270;6677;496;162;615;98;2184;1048;285;0;0;0;305;707;894
п;1837;2;3;1;4;2469;0;0;0;947;0;96;920;0;130;9115;56;5957;35;98;827;1;0;10;20;9;1;0;237;65;0;1;259
р;7753;113;479;170;304;6812;2;300;116;4705;0;418;97;240;1037;7757;198;57;457;740;2632;45;229;44;135;200;23;0;1587;544;10;146;1193
с;1790;180;1710;95;317;3216;11;47;87;1338;0;3878;2549;755;1576;2737;1856;281;966;12023;816;39;234;55;350;114;3;21;426;3036;46;203;3703
т;5148;304;2825;106;365;5221;0;77;133;4151;0;992;329;213;1512;11607;523;2733;1508;298;1580;21;47;74;267;31;7;34;1613;4804;75;68;646
у;194;751;1142;1375;2024;304;1;1118;426;510;145;1053;1176;1210;1110;391;1283;695;1719;1998;109;67;560;28;1054;817;399;0;0;0;67;1030;111
ф;163;1;2;0;0;201;0;3;0;286;0;5;48;5;20;189;1;92;15;20;63;3;0;0;1;0;0;0;10;11;2;0;4
х;598;160;607;111;219;113;0;56;127;557;0;250;284;186;510;2205;567;330;566;185;345;21;26;16;78;60;5;4;0;0;37;19;33
ц;647;8;102;8;9;770;0;1;4;455;0;76;6;7;23;185;23;6;13;15;162;3;2;0;10;0;1;0;295;0;2;0;3
ч;2060;23;72;8;18;2997;0;7;21;1653;0;466;26;10;876;83;90;46;71;2248;656;1;3;0;9;96;0;0;0;341;5;4;4
ш;1093;3;30;4;6;2258;0;1;3;1892;0;515;521;17;384;241;26;11;4;88;370;0;0;2;1;0;0;0;0;461;1;3;1
щ;507;0;6;1;12;1547;0;2;2;1035;0;4;5;2;47;8;2;2;4;0;140;0;0;0;0;0;0;0;0;43;1;0;0
ъ;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;107
ы;85;299;1738;201;341;1509;0;81;216;435;1275;515;2061;1634;760;370;623;403;1133;805;89;14;1369;17;202;496;17;0;0;0;72;15;71
ь;141;355;1022;191;388;743;1;72;397;775;1;1409;192;434;2342;597;808;184;1836;463;199;18;89;95;472;565;26;0;0;0;138;633;493
э;1;0;5;0;4;0;0;0;7;0;10;33;24;18;12;0;16;10;3;2166;0;6;13;0;0;12;0;0;0;0;0;0;0
ю;102;331;318;125;445;65;0;78;150;240;5;261;73;119;319;198;320;797;456;540;52;18;34;127;167;77;635;0;0;0;38;55;39
я;216;468;1404;369;1008;356;0;281;605;754;62;797;1005;824;1811;667;1082;330;1492;1768;217;34;315;69;385;64;267;0;0;0;145;192;215
